83.2.333,FALSE,FALSE,TRUE,6781,,The American Wing,1883,Print,Print,,,,,,,,,,,,,,,,,,,1775–1883,1775,1883,Paper,Diam. 2 1/2 in. (6.4 cm),"Gift of William H. Huntington, 1883",Made in,,,,France,,,,,,,,,http://www.metmuseum.org/art/collection/search/6781,,,"Metropolitan Museum of Art, New York, NY",Men|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010,images/25344_83.2.333.jpg
1991.219.1,FALSE,FALSE,TRUE,14292,729,The American Wing,1991,Print,Framed Print,American,,,,,,,,,,,,,,,,,,1801–10,1801,1810,"Mahogany veneer, white pine, poplar",16 3/8 x 12 1/2 in. (41.6 x 31.8 cm),"Purchase, Mrs. Leonard Marx Gift, 1991",Probably made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14292,,,"Metropolitan Museum of Art, New York, NY",Women|Camels,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250139,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q7375,images/frame 1991.219.1.jpg
1991.219.2,FALSE,FALSE,TRUE,14293,729,The American Wing,1991,Print,Framed Print,American,,,,,,,,,,,,,,,,,,1801–10,1801,1810,"Mahogany veneer, white pine, poplar",16 3/8 x 12 1/2 in. (41.6 x 31.8 cm),"Purchase, Mrs. Leonard Marx Gift, 1991",Probably made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14293,,,"Metropolitan Museum of Art, New York, NY",Shields|Women|Emblems,http://vocab.getty.edu/page/aat/300036869|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300123036,https://www.wikidata.org/wiki/Q131559|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q112110,images/frame 1991.219.2.jpg
1991.219.3,FALSE,FALSE,TRUE,14294,,The American Wing,1991,Print,Framed Print,American,,,,,,,,,,,,,,,,,,1801–10,1801,1810,"Mahogany veneer, white pine, poplar",16 3/8 x 12 1/2 in. (41.6 x 31.8 cm),"Purchase, Mrs. Leonard Marx Gift, 1991",Probably made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14294,,,"Metropolitan Museum of Art, New York, NY",Men|Snakes|Plants|Lions,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250870|http://vocab.getty.edu/page/aat/300132360|http://vocab.getty.edu/page/aat/300310388,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q2102|https://www.wikidata.org/wiki/Q756|https://www.wikidata.org/wiki/Q140,images/frame 1991.219.3.jpg
1991.219.4,FALSE,FALSE,TRUE,14295,,The American Wing,1991,Print,An Emblem of America,American,,,,,7586,Publisher, ,Haines & Son,London, ,Haines & Son, ,1750,1850,,,,1801,1801,1801,"Mezzotint; frame: mahogany veneer, white pine, poplar",16 3/8 x 12 1/2 in. (41.6 x 31.8 cm),"Purchase, Mrs. Leonard Marx Gift, 1991",Probably made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/14295,,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Women, |http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q467,images/DP205018.jpg
2002.192,FALSE,FALSE,TRUE,16880,,The American Wing,2002,Print,"Season Ticket to the Portrait of Queen Victoria by T. Sully, Esq.",American,,,,,,,,,,,,,,,,,,1838,1838,1838,Engraving on paper,1 15/16 x 3 7/16 in. (4.9 x 8.7 cm),"Gift of The Schwartz Gallery, 2002",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/16880,,,"Metropolitan Museum of Art, New York, NY",,,,images/DP105595.jpg
2001.155.1,FALSE,FALSE,TRUE,16908,,The American Wing,2001,Print,John Trumbull,American,,,,,16185,Artist, ,Asher Brown Durand,"American, Jefferson, New Jersey 1796–1886 Maplewood, New Jersey", ,"Durand, Asher Brown",American,1796,1886,,http://vocab.getty.edu/page/ulan/500026080,https://www.wikidata.org/wiki/Q391608,1833,1833,1833,Engraving on paper,"5 3/4 x 4 5/8 in. (14.6 x 11.7 cm)
","Gift of Marvin Sadik, 2001",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/16908,https://www.wikidata.org/wiki/Q20178219,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,images/268953.jpg
2003.544.2,FALSE,FALSE,TRUE,17728,,The American Wing,2003,Print,The Wept of the Wish-Ton-Wish,,,,,,16389,Artist,After,Felix Octavius Carr Darley,"American, Philadelphia, Pennsylvania 1822–1888 Claymont, Delaware", ,"Darley, Felix Octavius Carr",American,1822,1888,,http://vocab.getty.edu/page/ulan/500000679,https://www.wikidata.org/wiki/Q5423992,,1822,1888,Steel engraving and black ink on off-white wove card (Bristol-type paper),"Overall: 9 7/8 x 7 3/8 in. (25.1 x 18.7 cm)
Sight: 4 x 3 5/8 in. (10.2 x 9.2 cm)","Gift of Judith F. Hernstadt, 2003",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/17728,,,"Metropolitan Museum of Art, New York, NY",Swords|Men|Women,http://vocab.getty.edu/page/aat/300037048|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q12791|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467,images/SFTR64122003.jpg
1992.305.1,FALSE,FALSE,TRUE,24950,,Arms and Armor,1992,Print,Print of Designs for Hilt and Sheath Fittings,"British, London",,,,,16199516199,Engraver|Designer, |After,Wenceslaus Hollar|Hans Holbein the Younger,"Bohemian, Prague 1607–1677 London|German, Augsburg 1497/98–1543 London", | ,"Hollar, Wenceslaus|Holbein, Hans, the Younger",Bohemian|German,1607      |1497      ,1677      |1543      ,|,http://vocab.getty.edu/page/ulan/500028368|http://vocab.getty.edu/page/ulan/500005259,https://www.wikidata.org/wiki/Q448555|https://www.wikidata.org/wiki/Q48319,1644,1644,1644,Ink on paper,5 7/8 x 3 3/4 in. (14.9 x 9.5 cm),"Gift of Lois Earl Blumka, 1992",,London,,,,,,,,,,Works on Paper-Prints,,http://www.metmuseum.org/art/collection/search/24950,,,"Metropolitan Museum of Art, New York, NY",Ornament,http://vocab.getty.edu/page/aat/300164595,https://www.wikidata.org/wiki/Q335261,images/LC-1992_305_1-001.jpg
1992.305.2,FALSE,FALSE,TRUE,24951,,Arms and Armor,1992,Print,"Print of Designs for a Pommel, Quillons, and Locket",British,,,,,16199516199,Engraver|Designer, |After,Wenceslaus Hollar|Hans Holbein the Younger,"Bohemian, Prague 1607–1677 London|German, Augsburg 1497/98–1543 London", | ,"Hollar, Wenceslaus|Holbein, Hans, the Younger",Bohemian|German,1607      |1497      ,1677      |1543      ,|,http://vocab.getty.edu/page/ulan/500028368|http://vocab.getty.edu/page/ulan/500005259,https://www.wikidata.org/wiki/Q448555|https://www.wikidata.org/wiki/Q48319,1645,1645,1645,Ink on paper,6 1/8 x 4 1/2 in. (15.5 x 11.4 cm),"Gift of Lois Earl Blumka, 1992",,,,,,,,,,,,Works on Paper-Prints,,http://www.metmuseum.org/art/collection/search/24951,,,"Metropolitan Museum of Art, New York, NY",Ornament,http://vocab.getty.edu/page/aat/300164595,https://www.wikidata.org/wiki/Q335261,images/LC-1992_305_2-001.jpg
